공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
327,유량계,동래구,동래통합사업소,13블록유량계,300,전자식,0,2019-11-28,덕천가압장(시내),양호,상수맨홀,동래구,블록
329,유량계,해운대구,해운대사업소,반여1동 제11블록 유량계,300,초음파식,289702.45,2017-05-20,덕천가압장(시내),양호,상수맨홀,해운대구,블록
330,유량계,강서구,시설관리사업소,수관교,1500,초음파식,0,2017-05-30,덕산정수장(생활직송),양호,상수맨홀,강서구,권역
331,유량계,금정구,동래통합사업소,제28블록 유량계,250,전자식,,2007-06-26,덕천가압장(시내),양호,,금정구,블록
333,유량계,서구,서부사업소,22블록 유량계,250,초음파식,276380.2,2017-04-24,남부민배수지,양호,,서구,블록
334,유량계,강서구,강서사업소,유량계,100,터어빈형,0,2005-12-15,덕산정수장(생활),양호,상수맨홀,강서구,
335,유량계,강서구,강서사업소,유량계,100,터어빈형,0,2005-12-15,덕산정수장(생활),양호,상수맨홀,강서구,
336,유량계,강서구,강서사업소,유량계,100,터어빈형,0,2005-12-15,덕산정수장(생활),양호,상수맨홀,강서구,
337,유량계,강서구,강서사업소,유량계,300,터어빈형,0,2005-12-15,덕산정수장(생활),양호,상수맨홀,강서구,
338,유량계,영도구,영도사업소,20블록 유량계,200,전자식,0,2019-03-11,해돋이배수지,양호,상수맨홀,영도구,블록
339,유량계,사하구,사하사업소,32블록 유량계,250,전자식,,2015-09-14,덕산정수장(생활직송),양호,,사하구,블록
340,유량계,부산진구,부산진사업소,13블록 유량계,300,전자식,0,2019-06-10,거제배수지,양호,,부산진구,블록
341,유량계,사하구,사하사업소,33블록내 (소블록유량계설치),50,익차형,0,2008-05-03,성화원부스터,양호,,사하구,블록(보조)
342,유량계,사하구,사하사업소,26블록 유량계,200,전자식,,2015-10-27,감천배수지,양호,,사하구,블록
343,유량계,금정구,동래통합사업소,제25블록 유량계,150,전자식,291067.4,2022-04-12,서동배수지,양호,,금정구,블록
344,유량계,금정구,동래통합사업소,제29블록 유량계,250,전자식,0,2022-04-14,덕천가압장(시내),양호,,금정구,블록
345,유량계,남구,남부사업소,제45-1블록 유량계,200,전자식,280855.04,2018-04-27,감만배수지,양호,,남구,블록
346,유량계,연제구,동래통합사업소,47블록유량계,300,초음파식,,2015-10-11,덕천가압장(시내),양호,상수맨홀,연제구,블록
347,유량계,남구,시설관리사업소,문현배수지,500,전자식,700,2019-10-25,문현배수지,양호,,남구,권역
348,유량계,사하구,사하사업소,15-1블록 유량계,150,전자식,0,2023-03-23,덕산정수장(생활직송),양호,,사하구,블록(보조)
349,유량계,사상구,북부사업소,38블록 유량계,150,전자식,283888.33,2018-06-01,개금1배수지,양호,상수맨홀,사상구,블록
350,유량계,사상구,북부사업소,43블록 유량계,300,초음파식,283708.46,2008-09-26,수정산터널배수지,양호,상수맨홀,사상구,블록
351,유량계,사상구,북부사업소,22블록 유량계,200,전자식,0,2019-05-02,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
353,유량계,북구,북부사업소,16블록 유량계,250,초음파식,290624.66,2021-05-27,만덕가압장,양호,상수맨홀,북구,블록
354,유량계,사상구,시설관리사업소,주례2,400,초음파식,0,2022-02-22,사상가압장(신설),양호,,사상구,권역
355,유량계,남구,남부사업소,제49블록 유량계,250,전자식,0,2015-10-19,덕천가압장(시내),양호,,남구,블록
356,유량계,동구,중동부사업소,12-1블록 유량계,150,전자식,0,2019-04-08,수정산터널배수지,양호,,동구,블록
357,유량계,기장군,기장사업소,1블록 유량계,150,전자식,302021.24,2020-04-23,봉대산배수지,양호,상수맨홀,기장군,블록
358,유량계,기장군,기장사업소,14-1블록 유량계,400,초음파식,303161.87,2021-04-30,정관지구저지배수지,,상수맨홀,기장군,블록
359,유량계,강서구,강서사업소,강서10블록 유량계,300,초음파식,0,2021-02-19,덕산정수장(생활직송),양호,,강서구,블록
360,유량계,금정구,동래통합사업소,제 14-1블록 유량계,150,전자식,0,2023-04-19,덕천가압장(시내),양호,,금정구,블록
361,유량계,부산진구,부산진사업소,1블록 유량계,250,초음파식,0,2021-05-04,신당감가압장,양호,,부산진구,블록
362,유량계,동구,시설관리사업소,유량계 (유출관로),1000,초음파식,0,2017-06-01,수정산터널배수지,양호,,동구,권역
363,유량계,서구,서부사업소,22-1블록 유량계,100,전자식,0,2024-06-03,남부민부스터,양호,,서구,블록
365,유량계,연제구,동래통합사업소,52블록 유량계,250,전자식,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,연제구,블록
366,유량계,사상구,북부사업소,32블록 유량계,200,전자식,285122.96,2015-10-18,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
367,유량계,수영구,남부사업소,제 8블록 유량계,300,전자식,0,2022-04-26,덕천가압장(시내),양호,,수영구,블록
368,유량계,남구,남부사업소,제48블록 유량계,200,전자식,3000,2011-01-01,덕천가압장(시내),양호,,남구,블록
369,유량계,금정구,동래통합사업소,제7블록 유량계,400,전자식,0,2017-06-28,덕천가압장(시내),양호,상수맨홀,금정구,블록
370,유량계,사하구,사하사업소,18블록유량계,200,전자식,0,2019-03-12,신평배수지,양호,,사하구,블록
371,유량계,남구,남부사업소,제39블록 유량계,200,전자식,0,2022-04-26,감만배수지,양호,,남구,블록
372,유량계,남구,남부사업소,제40블록 유량계,150,전자식,0,2007-09-19,덕천가압장(시내),양호,,남구,블록
373,유량계,사하구,사하사업소,17블록 유량계,150,전자식,0,2019-03-13,신평배수지,양호,,사하구,블록
374,유량계,남구,남부사업소,제23블록 유량계,250,초음파식,0,2017-04-17,문현배수지,양호,,남구,블록
375,유량계,서구,서부사업소,2-2블록유량계,200,전자식,279612.75,2023-03-20,대티배수지,양호,,서구,블록
376,유량계,서구,서부사업소,4블록유입유량계,100,전자식,0,2018-04-17,대티2배수지,양호,,서구,블록
377,유량계,사상구,북부사업소,24블록 유량계,200,전자식,288121.57,2021-05-27,사상가압장(신설),양호,상수맨홀,사상구,블록
378,유량계,북구,북부사업소,14-2블록 유량계,250,초음파식,290663.3,2020-05-20,덕천가압장(오륜),양호,상수맨홀,북구,블록
379,유량계,금정구,동래통합사업소,제8블록 유량계,250,초음파식,0,2008-05-22,덕천가압장(시내),양호,,금정구,블록
380,유량계,북구,북부사업소,14-1블록 유량계,250,전자식,290652.13,2024-04-16,만덕1배수지,양호,상수맨홀,북구,블록
381,유량계,영도구,영도사업소,제22-1블록 유량계,200,전자식,275460.44,2020-03-12,해돋이배수지,양호,상수맨홀,영도구,블록
382,유량계,영도구,영도사업소,제7블록 유량계,150,전자식,276328.61,2018-12-21,청학배수지,양호,상수맨홀,영도구,블록
383,유량계,동구,중동부사업소,8-2블록 유량계,150,전자식,281128.46,2008-07-30,수정산터널배수지,양호,,동구,블록
384,유량계,수영구,남부사업소,제13블록 유량계,150,전자식,0,2008-12-19,덕천가압장(시내),양호,,수영구,블록
385,유량계,중구,중동부사업소,17블록유량계,150,전자식,0,2023-04-11,수정산터널배수지,양호,,중구,블록
386,유량계,사하구,사하사업소,32블록 유량계(사용안함),400,전자식,0,1999-01-01,덕산정수장(생활직송),양호,,사하구,기타
