번호,시군구명,동명,리명,도로명,교차로명,경도,위도
270,사상구,덕포동,,,오약국,128.9829673,35.17143486
271,강서구,송정동,,녹산산단17로 42,녹산산업단지 경5,128.8247032,35.10006147
272,강서구,송정동,,녹산산단17로 42,녹산산업단지 경5,128.8244446,35.10004329
273,사하구,감천동,,,금성석유,129.0101390,35.09595944
274,사상구,주례동,,,신주례LG아파트,129.0142985,35.15433883
275,사상구,주례동,,,신주례재활용센터,129.0063688,35.15096231
276,부산진구,개금동,,복지로 70,진양맨션,129.0161701,35.14830999
277,사상구,주례동,,주례로9번길 50,송림아파트,129.0140657,35.14974583
278,사상구,학장동,,새벽로 86,삼일에스티,128.9811764,35.14804994
279,사상구,주례동,,냉정로 120,주례동 하나로마트,129.0128689,35.14951476
280,부산진구,양정동,,,동의의료원2,129.0746585,35.17207587
281,해운대구,우동,,마린시티1로 6,우1동 주민자치회 중앙분리대,129.1428877,35.16012546
282,해운대구,우동,,해운대해변로 73,경남마리나101동 중앙분리대,129.1419759,35.16078905
283,해운대구,중동,,달맞이길 190,달맞이 해월정,129.1817960,35.15719742
284,부산진구,범천동,,,선암초등학교,129.0498947,35.14830462
285,부산진구,범천동,,엄광로386번길 49,범천4동 새마을금고,129.0479363,35.15130491
286,부산진구,가야동,,,가야여중(오복상회),129.0359398,35.14920261
287,해운대구,중동,,해운대해변로 359,중동두산위브아파트,129.1679507,35.16362964
288,사상구,엄궁동,,,청송강남아파트,128.9753306,35.12928419
289,남구,용당동,,,동명오거리,129.0986358,35.12167152
290,사상구,주례동,,,주례교차로,128.9996670,35.15024141
291,사상구,주례동,,,주례교차로,129.0001850,35.15041173
292,사상구,주례동,,,주례교차로,129.0003239,35.15042497
293,사하구,하단동,,,가락타운101동앞 육교,128.9574070,35.10800057
294,사하구,당리동,,,당리동원베네스트 앞,128.9831785,35.10999823
295,사하구,당리동,,,당리동원베네스트2차,128.9841973,35.11093693
296,강서구,대저1동,,,,128.9758673,35.22088362
297,사상구,주례동,,백양대로445번길 21-11,주례굴다리 어귀,129.0031190,35.15233874
298,사상구,주례동,,백양대로 453,주례굴다리 어귀,129.0029838,35.15254370
299,사상구,학장동,,대동로209번길 45,건영택배 학장점,128.9810733,35.14689152
300,사상구,학장동,,대동로239번길 15-12,금보철강,128.9841626,35.14763292
301,사상구,감전동,,낙동대로916번길 41,(주)에스원,128.9716565,35.14268117
302,사상구,학장동,,,가나다 정비,128.9955540,35.13666326
303,사상구,주례동,,냉정로 56,주례럭키아파트7동 앞,129.0042928,35.14858337
304,사상구,주례동,,냉정로6번길 5,주례3동 주민자치센터,129.0014941,35.14750492
305,사상구,주례동,,,주례벽산아파트,129.0007681,35.14582763
306,사상구,학장동,,대동로 2,엄궁삼거리,128.9721754,35.13145609
307,사상구,학장동,,,세원로타리,128.9875937,35.14311844
308,사상구,감전동,,사상로147번길 16,,128.9727032,35.15224074
309,영도구,대교동1가,,남항로9번길 56,대교로타리,129.0397779,35.09222415
310,해운대구,송정동,,,송정삼거리,129.1988248,35.18067782
311,사하구,괴정동,,,승학초교,129.0030667,35.10129902
312,사하구,괴정동,,사리로8번길 41,동주여중,129.0008857,35.10139536
313,사하구,당리동,,괴정로 157-5,유진하이츠빌,128.9782701,35.09877493
314,사하구,구평동,,,구평대구상회,128.9920529,35.08445004
315,사하구,괴정동,,승학로233번길 50,괴정자유2차 입구,128.9906822,35.10233723
316,사하구,괴정동,,낙동대로135번길 12,괴정롯데슈퍼 뒤,129.0020960,35.10234010
317,사하구,감천동,,옥천로 92-1,생수의강교회,129.0104104,35.09499243
318,사하구,감천동,,,삼거리약국,129.0091812,35.09324741
319,사하구,다대동,,다송로 59,다선초교,128.9830799,35.06319853
320,사하구,다대동,,,다대2동 부산은행,128.9803619,35.06364336
321,강서구,생곡동,,,세산이주단지,128.8908282,35.13646755
322,강서구,생곡동,,,세산이주단지,128.8903855,35.13657832
323,사하구,괴정동,,사리로 72,극동스타클래스101동,128.9985098,35.10547988
324,강서구,강동동,,,덕포정미소,128.9139215,35.19162903
325,해운대구,중동,,,경원프라우드빌,129.1645977,35.16730258
326,사하구,당리동,,마하로 70-3,당리대암가든맨션,128.9837671,35.10483313
327,해운대구,좌동,,,,129.1799998,35.16757994
328,사하구,다대동,,다대로 740,다대소각장,128.9606201,35.04994128
329,사하구,다대동,,다대로 780,다대3펌프장,128.9582830,35.05263493
330,사하구,다대동,,다송로 7,국제그린아파트,128.9832526,35.06706744
331,사하구,다대동,,,국제그린아파트2동,128.9835661,35.06614704
332,사하구,다대동,,,국제그린아파트2동,128.9841424,35.06555289
333,부산진구,전포동,,봉수로 13,동성고교,129.0694308,35.15054113
334,해운대구,좌동,,,상당초교앞,129.1757558,35.18003900
335,동래구,사직동,,,사직초교,129.0557792,35.20059968
336,남구,감만동,,,부산외국어대학앞,129.0830497,35.12221706
337,남구,감만동,,,부산외국어대학앞,129.0828444,35.12215410
338,수영구,남천동,,광안해변로 11,광안대교ㅡ>49호광장출입구,129.1124721,35.13622806
339,부산진구,연지동,,,일동미라주아파트,129.0522812,35.16859562
340,부산진구,가야동,,,가야1동 삼환 사랑채아파트,129.0407611,35.15492395
341,부산진구,부암동,,백양순환로95번길 49,부암삼성아파트 늘푸른교회,129.0360265,35.17015192
342,부산진구,당감동,,백양순환로28번길 35,동평초교 좌측,129.0341639,35.16733825
343,해운대구,재송동,,해운대로61번길 108-29,재송동 비둘기맨션,129.1304289,35.19369277
344,동래구,안락동,,충렬사로 39,동래화목아파트 앞,129.0978257,35.20259418
345,기장군,정관읍,방곡리,,방곡사 앞,129.1903408,35.32409788
346,동구,범일동,,,범5호광장(성동중학교직결),129.0641317,35.14151416
347,강서구,죽동동,,,LPG가스충전소-1,128.8904635,35.20933789
348,강서구,대저1동,,,한일제재소,128.9411987,35.20238329
349,강서구,대저1동,,,부곡전자,128.9421532,35.20456090
350,수영구,남천동,,수영로 493,성분도유치원,129.1104354,35.15077140
351,기장군,기장읍,서부리,,꿈의 궁전 중앙분리대,129.2093583,35.24921313
352,중구,보수동1가,,,흑교사거리-구덕터널방향,129.0225669,35.10814287
353,영도구,청학동,,,청학동82번종점,129.0604952,35.09209465
354,서구,서대신동2가,,,서대신교차로,129.0119859,35.11099756
355,서구,서대신동2가,,낙동대로 7,서대신교차로,129.0124704,35.11098573
356,영도구,청학동,,청학남로 7,뚜레쥬르 영도동삼점,129.0577339,35.09020216
357,서구,암남동,,,송도탑스빌,129.0190236,35.07826894
358,남구,대연동,,유엔평화로14번길 55,동성하이타운앞,129.0881744,35.13318686
359,남구,대연동,,,대연비치아파트입구ㅡ>영남제분방향,129.1103712,35.13539349
360,남구,대연동,,황령대로 504,대연비치아파트입구,129.1086591,35.13734247
361,해운대구,중동,,,청사포로65,129.1871119,35.16270669
362,동래구,사직동,,쇠미로 72,사직중학교,129.0534571,35.19865676
363,해운대구,석대동,,,석대정화조 차량주차장,129.1184343,35.21911840
364,해운대구,중동,,,중동 e마트뒷길,129.1670855,35.16539367
365,부산진구,범천동,,,범천 대원아파트,129.0613014,35.14687182
366,서구,서대신동2가,,,서대신교차로,129.0120041,35.11073885
367,강서구,성북동,,,신항만 북컨 F지점(현대부지),128.8150497,35.08460721
368,부산진구,전포동,,전포대로 181,경남공고,129.0639936,35.15217383
369,부산진구,부암동,,동평로119번길 25,부암제일교회,129.0412483,35.16751181
370,기장군,정관읍,방곡리,,방곡마을 망향빌,129.1875245,35.32452455
371,동래구,안락동,,,수영자동차학원 입구,129.1154226,35.18332507
372,수영구,망미동,,연수로 273-1,(가변)망미아파트앞,129.1019929,35.17315198
373,수영구,망미동,,연수로 273-1,(가변)망미아파트앞,129.1019707,35.17298755
374,연제구,연산동,,,(가변)연미시장앞,129.0936717,35.17381329
375,연제구,연산동,,,(가변)연미시장앞,129.0936477,35.17365306
376,수영구,망미동,,연수로 273-1,(가변)망미여중앞,129.0991458,35.17323247
377,수영구,망미동,,연수로 273-1,(가변)망미여중앞,129.0991456,35.17306763
378,수영구,광안동,,연수로 375,수영동양아파트입구,129.1105889,35.17037968
379,수영구,광안동,,연수로 377,수영동양아파트입구,129.1106501,35.17033929
380,수영구,광안동,,연수로379번길 3,수영동양아파트입구,129.1107720,35.17046205
381,수영구,광안동,,연수로 375-4,수영동양아파트입구,129.1105220,35.17065116
382,수영구,수영동,,,협성르네상스타워,129.1207841,35.17025017
383,수영구,수영동,,,협성르네상스타워,129.1208815,35.17026432
384,수영구,망미동,,,유림상사,129.1179031,35.17647580
385,수영구,망미동,,,유림상사,129.1177813,35.17685602
