번호,시군구명,동명,리명,도로명,교차로명,위도,경도
277,사상구,괘법동,,광장로38번길 9,,35.16021497,128.9865578
278,사상구,괘법동,,광장로38번길 9,,35.16019977,128.9865737
279,사상구,괘법동,,광장로38번길 9,,35.16018016,128.9865910
280,사상구,괘법동,,광장로38번길 9,,35.16019866,128.9865268
281,사상구,괘법동,,광장로38번길 9,,35.16018346,128.9865428
282,사상구,괘법동,,광장로38번길 9,,35.16016385,128.9865600
283,사상구,괘법동,,광장로86번길 41-4,괘법초교(한울볼링센터),35.15987202,128.9869810
284,사상구,괘법동,,광장로86번길 41-4,괘법초교(한울볼링센터),35.15988858,128.9869654
285,사상구,괘법동,,광장로86번길 41,괘법초교(한울볼링센터),35.15990427,128.9869511
286,사상구,괘법동,,광장로86번길 41-4,괘법초교(한울볼링센터),35.15985433,128.9869561
287,사상구,삼락동,,낙동대로1436번길 9,,35.18777548,128.9784656
288,사상구,괘법동,,광장로86번길 41,괘법초교(한울볼링센터),35.15987089,128.9869406
289,사상구,괘법동,,광장로86번길 41,괘법초교(한울볼링센터),35.15988658,128.9869263
290,사상구,괘법동,,광장로38번길 9,괘법초교(한울볼링센터),35.15951920,128.9871878
291,사상구,괘법동,,광장로38번길 9,괘법초교(한울볼링센터),35.15953222,128.9872174
292,사상구,괘법동,,광장로38번길 9,,35.15869488,128.9881256
293,사상구,괘법동,,광장로38번길 9,,35.15867567,128.9880979
294,사상구,감전동,,사상로137번길 22,,35.15795499,128.9887106
295,사상구,감전동,,사상로137번길 22,,35.15797097,128.9887371
296,사상구,감전동,,사상로104번길 28-18,,35.15657348,128.9900502
297,사상구,감전동,,사상로104번길 28-15,,35.15655175,128.9900709
298,사상구,감전동,,사상로104번길 28-15,,35.15658936,128.9900756
299,사상구,감전동,,사상로104번길 28-15,,35.15656467,128.9901009
300,사상구,감전동,,사상로104번길 28-15,북부산세무서,35.15626849,128.9903456
301,사상구,감전동,,사상로104번길 28-15,북부산세무서,35.15624377,128.9903667
302,사상구,감전동,,사상로104번길 28-15,북부산세무서,35.15628711,128.9903686
303,사상구,감전동,,사상로104번길 28-15,북부산세무서,35.15625854,128.9903944
304,사상구,감전동,,,북부산세무서,35.15544580,128.9909451
305,사상구,감전동,,,북부산세무서,35.15546775,128.9909839
306,사상구,감전동,,,북부산세무서,35.15548330,128.9909553
307,사상구,감전동,,,북부산세무서,35.15549020,128.9909235
308,사상구,감전동,,,북부산세무서,35.15560651,128.9912048
309,사상구,감전동,,,북부산세무서,35.15556380,128.9912120
310,사상구,감전동,,,북부산세무서,35.15558361,128.9911860
311,사상구,감전동,,,,35.15525926,128.9916344
312,사상구,감전동,,,,35.15528196,128.9916063
313,사상구,감전동,,,,35.15530313,128.9915716
314,사상구,감전동,,,,35.15530007,128.9916291
315,사상구,감전동,,,,35.15610303,128.9946846
316,사상구,감전동,,,,35.15606604,128.9947123
317,사상구,감전동,,,,35.15597873,128.9949516
318,사상구,감전동,,,,35.15598582,128.9949069
319,사상구,감전동,,,,35.15604904,128.9947732
320,사상구,감전동,,,,35.15602168,128.9948025
321,사상구,삼락동,,낙동대로 1434,,35.18824148,128.9778729
322,사상구,삼락동,,낙동대로 1434,,35.18827000,128.9778946
323,사상구,삼락동,,낙동대로 1434,,35.18808549,128.9778133
324,사상구,삼락동,,낙동대로 1434,,35.18811370,128.9778302
325,사상구,삼락동,,낙동대로1436번길 9,,35.18773835,128.9784820
326,사상구,삼락동,,낙동대로1436번길 9,,35.18786883,128.9784603
327,사상구,삼락동,,낙동대로1436번길 9,,35.18781960,128.9784589
328,사상구,삼락동,,낙동대로 1434,,35.18799408,128.9777954
329,사상구,삼락동,,낙동대로 1434,,35.18802421,128.9778166
330,사상구,삼락동,,낙동대로1412번길 16,,35.18636552,128.9774303
331,사상구,삼락동,,낙동대로1412번길 16,,35.18633008,128.9774141
332,사상구,삼락동,,낙동대로 1422,,35.18734910,128.9772649
333,사상구,삼락동,,낙동대로 1422,,35.18737763,128.9772867
