구분,노선명,시점,종점,폭(m),길이(m)
길,동명로118번가길,부산광역시 남구 용호동 352-6 일원,부산광역시 남구 용호동 685-1 일원,3,248
길,동명로118번길,부산광역시 남구 용호동 409-56 일원,부산광역시 남구 용호동 534-60 일원,8,791
길,동명로125번길,부산광역시 남구 용호동 406-9 일원,부산광역시 남구 용호동 102-1 일원,6,305
길,동명로131번길,부산광역시 남구 용호동 370-14 일원,부산광역시 남구 용호동 79-2 일원,8,335
길,동명로132번길,부산광역시 남구 용호동 396-4 일원,부산광역시 남구 용호동 534-24 일원,8,755
길,동명로145번가길,부산광역시 남구 용호동 392-1 일원,부산광역시 남구 용호동 392-31 일원,6,131
길,동명로145번길,부산광역시 남구 용호동 392-15 일원,부산광역시 남구 용호동 85-1 일원,8,543
길,동명로145번나길,부산광역시 남구 용호동 372-20 일원,부산광역시 남구 용호동 455-1 일원,4,249
길,동명로145번다길,부산광역시 남구 용호동 327-15 일원,부산광역시 남구 용호동 398-1 일원,3,244
길,동명로146번길,부산광역시 남구 용호동 394-2 일원,부산광역시 남구 용호동 532-58 일원,8,721
길,동명로152번길,부산광역시 남구 용호동 391-1 일원,부산광역시 남구 용호동 530-51 일원,6,704
길,동명로157번길,부산광역시 남구 용호동 373-33 일원,부산광역시 남구 용호동 374-1 일원,8,267
길,동명로158번길,부산광역시 남구 용호동 391-2 일원,부산광역시 남구 용호동 529-17 일원,8,688
길,동명로163번길,부산광역시 남구 용호동 375-30 일원,부산광역시 남구 용호동 375-1 일원,6,219
길,동명로164번길,부산광역시 남구 용호동 390-53 일원,부산광역시 남구 용호동 529-21 일원,6,672
길,동명로169번길,부산광역시 남구 용호동 376-22 일원,부산광역시 남구 용호동 373-1 일원,8,349
길,동명로170번길,부산광역시 남구 용호동 385-2 일원,부산광역시 남구 용호동 527-21 일원,7,656
길,동명로176번길,부산광역시 남구 용호동 384-3 일원,부산광역시 남구 용호동 383-35 일원,3,338
길,동명로92번길,부산광역시 남구 용호동 420-5 일원,부산광역시 남구 용호동 480-5 일원,8,483
