연번,참고지도,위도,경도,관리번호,수량,구_군,행정(읍_면_동),도로명_주소,설치장소명,구(지번)주소
169,다음지도,35.10990689,129.0365353,부산-7-중구-0138,1,중구,영주1동,동광길165번길 3,엔제리너스원룸 앞,영주동 726
170,다음지도,35.11155396,129.0320964,부산-7-중구-0139,1,중구,영주2동,동영로 74,영주2동주민센터 앞,영주동 147-7
171,다음지도,35.10938092,129.0318998,부산-7-중구-0140,1,중구,영주2동,영주로 19,모노레일 하부,영주동 293-1
172,다음지도,35.11136654,129.0323906,부산-7-중구-0141,1,중구,영주2동,동영로64번길 10,중앙빌라 2차,영주동 466-8
173,다음지도,35.10833929,129.0359727,부산-7-중구-0142,1,중구,중앙동,중앙대로115번길 4-5,부원아파트 옆 계단,대창동1가 54-27
174,다음지도,35.11063719,129.0269741,부산-7-중구-0143,1,중구,보수동,망양로193번길 146,중앙도서관 출입구 옆,보수동1가 산 3-41
175,다음지도,35.10990742,129.025481,부산-7-중구-0144,1,중구,보수동,망양로319번길 65,혜광분식 앞,보수동1가 2-694
176,다음지도,35.11223378,129.0306519,부산-7-중구-0145,1,중구,영주2동,영주로54번길 6,호암빌라 옆,영주동 275-2
177,다음지도,35.10626889,129.027639,부산-7-중구-0146,1,중구,보수동,망양로301번길 9-8,보수아파트 옆 공원입구,보수동1가 59-311
178,다음지도,35.1076586,129.0234815,부산-7-중구-0147,1,중구,보수동,보수대로140번안길 6,소라계단 상부,보수동1가 16-17
179,다음지도,35.10842174,129.0239226,부산-7-중구-0148,1,중구,보수동,보수대로144번길 12-1,늘푸른쉼터,보수동1가 2-269
180,다음지도,35.10889903,129.0306761,부산-7-중구-0149,1,중구,영주2동,망양로361번길 3-2,거제쌀집 인근,영주동 239-88
181,다음지도,35.10748923,129.0382928,부산-7-중구-0150,1,중구,중앙동,중앙대로116번길 13,삼중커피샾 앞,중앙동4가 80-21
182,다음지도,35.10787282,129.0370522,부산-7-중구-0151,1,중구,중앙동,중앙대로 118,남전빌딩 뒤,중앙동4가 82-9
183,다음지도,35.10095722,129.0284011,부산-7-중구-0152,1,중구,광복동,국제시장2길 19,대흥양산 앞,신창동4가 34-1
184,다음지도,35.10778762,129.0351502,부산-7-중구-0153,1,중구,동광동,동광길111번길 7,동광동 할머니원로의집 입구,동광동5가 3-73
185,다음지도,35.10733097,129.024348,부산-7-중구-0154,1,중구,보수동,보수북길31번길 2,신제빌라 앞,보수동1가 31-2
186,다음지도,35.11122289,129.0299387,부산-7-중구-0155,1,중구,영주2동,망양로 387,대주탕 맞은편,영주동 324-6
187,다음지도,35.10884847,129.0382499,부산-8-중구-0156,1,중구,중앙동,중앙대로132번길 12,현대자동차대리점 앞,중앙동4가 80-1
188,다음지도,35.10115513,129.0350072,부산-8-중구-0157,1,중구,중앙동,중앙대로41번길 12-1,중앙동주민센터 인근,중앙동4가 80-1
189,다음지도,35.10804612,129.0339777,부산-8-중구-0158,1,중구,동광동,동영로10번길 10,동영로 원룸촌1,동광동5가 12-99
