번호,시군구명,동명,도로명,교차로명,경도,위도
271,남구,용호동,동명로118번길 144,용호예가아파트108동앞,129.1096561,35.11304297
272,남구,용당동,,신선대길2,129.1047653,35.11097238
273,남구,감만동,신선로 180,호성1급정비,129.0854244,35.1103576
274,남구,용당동,,우성종합상사,129.0979429,35.12480282
275,남구,용호동,용호로 236-1,용호예가아파트,129.1102077,35.11140596
276,남구,용호동,용호로232번길 31,용호예가아파트,129.1100752,35.11147314
277,남구,감만동,우암로75번가길 9,감만 고가교,129.0778597,35.11822428
278,남구,감만동,우암로79번길 33,감만 고가교,129.0792583,35.11894662
279,남구,대연동,,대연경동메르빌아파트2,129.0921617,35.14975606
280,부산진구,연지동,,부산국악원(로얄아파트),129.0539743,35.17097813
281,동래구,안락동,연안로59번길 37,"한일합섬부지후문, 동부산 아이존빌",129.105485,35.19314983
282,동래구,안락동,연안로59번길 37,"한일합섬부지후문, 동부산 아이존빌",129.1054556,35.19313809
283,동래구,안락동,연안로51번길 10-3,안락뜨란채104동 앞,129.1078753,35.19303444
284,동래구,명륜동,명륜로129번가길 6-11,동래전화국 앞,129.0820835,35.20605627
285,영도구,남항동3가,,영선보라아파트,129.0404591,35.08287579
286,서구,부민동3가,까치고개로197번길 33-32,부민서교회,129.0165403,35.10217907
287,서구,부민동3가,해돋이로314번길 8,부광컴퓨터세탁,129.0165396,35.10371472
288,서구,부민동3가,임시수도기념로 64-25,부민건재,129.017135,35.1048252
289,서구,서대신동2가,해돋이로377번길 5-1,산월경로당,129.0122214,35.1066753
290,서구,서대신동2가,,위생병원(신호로변경),129.0114419,35.11307821
291,부산진구,양정동,양정로77번길 47-3,동호마트,129.0792406,35.17127321
292,동구,초량동,초량남로 51-12,초량충남마트,129.0363354,35.11954353
293,동구,초량동,초량남로 51-12,초량충남마트,129.0360966,35.11965303
294,중구,중앙동4가,,초량 프라자호텔 앞,129.039472,35.11154756
295,중구,중앙동4가,,초량 프라자호텔 앞,129.0394605,35.11156767
296,중구,중앙동4가,,초량 프라자호텔 앞,129.0394329,35.11147198
297,중구,중앙동4가,,초량 프라자호텔 앞,129.0394079,35.11146162
298,서구,남부민동,해돋이로 147-3,,129.0212974,35.09114188
299,서구,아미동2가,까치고개로197번길 33-32,아미파출소,129.0165946,35.10029676
300,서구,아미동2가,까치고개로197번길 33-32,아미파출소,129.0166076,35.1002631
301,서구,동대신동3가,,영산맨션3동,129.021571,35.116367
302,남구,용호동,,용호동메트로자이입구1,129.1088376,35.13283209
303,동래구,명장동,시실로135번길 39,동국빌라앞,129.097392,35.20972021
304,해운대구,반여동,,반여현대아파트,129.1198255,35.20860329
305,해운대구,석대동,,석대꽃농원 앞,129.1232634,35.21786108
306,동래구,명장동,,명장 아림파크 맨션 앞,129.1021516,35.21036858
307,동구,좌천동,,신수정약국,129.0491997,35.1308224
308,동래구,명장동,명서로105번길 11-4,명장2치안센타앞,129.1001306,35.21222087
309,남구,문현동,고동골로78번길 12,대흥천보약국(문현초교 옆),129.0712765,35.14387037
310,부산진구,부암동,,부암초교,129.0500233,35.16459601
311,동래구,명장동,시실로211번길 6,명장우성아파트 앞,129.1019125,35.2066466
312,중구,보수동1가,흑교로78번안길 43-8,혜광고,129.0247578,35.10862222
313,부산진구,가야동,,가야 보광맨션,129.0282138,35.1508983
314,부산진구,당감동,백양관문로 84,국제백양아파트1동,129.0283438,35.16662165
315,부산진구,부암동,백양산로 57,당감뜨란채 번개반점,129.0306259,35.1755923
316,서구,암남동,,,129.0178415,35.07146063
317,부산진구,당감동,,백양터널사무소,129.0251758,35.17161816
318,부산진구,당감동,,백양터널사무소,129.0251267,35.17161292
319,부산진구,당감동,백양산로53번길 125,당감4동우체국,129.0275339,35.17149364
320,해운대구,재송동,해운대로76번길 48-15,센텀E편한세상,129.1173933,35.1898271
321,해운대구,재송동,,센텀센시빌,129.1300588,35.17635606
322,해운대구,반송동,,송운초등학교해운대,129.1578814,35.22891864
323,해운대구,반송동,신반송로 200,반송2동 주공입구,129.1583235,35.23013138
324,해운대구,반송동,신반송로 200,반송2동 주공입구,129.1583488,35.23014652
325,해운대구,석대동,,반송초교,129.1467446,35.22331521
326,해운대구,반송동,아랫반송로49번길 62-16,영산대학교,129.1530201,35.22345957
327,해운대구,반송동,아랫반송로49번길 62-16,영산대학교,129.1530512,35.22343151
328,부산진구,개금동,,백병원삼거리,129.0203345,35.14823781
329,부산진구,개금동,,백병원 입구,129.0207508,35.14856027
330,부산진구,개금동,,백병원 입구,129.0206885,35.14857326
331,부산진구,개금동,,개금백병원 밑,129.0208227,35.14815007
332,부산진구,개금동,,개금백병원 밑,129.0208489,35.14819667
333,부산진구,개금동,,개금2동 새마을금고,129.0198245,35.14591503
334,부산진구,개금동,,개금시장(현대아파트),129.0185577,35.14817217
335,부산진구,개금동,복지로 70,개금늘푸른유치원,129.017375,35.14715321
336,부산진구,개금동,냉정로 171,개금유치원,129.0195252,35.14992881
337,부산진구,개금동,,개금시영아파트2동 옆,129.0164344,35.1457357
338,부산진구,개금동,복지로 70,개금현대아파트주변,129.0163388,35.14752332
339,부산진구,당감동,백양관문로 153,당감주공아파트1단지,129.0258043,35.17208979
340,중구,중앙동5가,,한국전기안전공사,129.0357153,35.10117421
341,중구,대청동4가,,대청파크빌라,129.0292605,35.10637103
342,부산진구,부암동,백양산로 57,당감뜨란채아파트,129.0307151,35.17402893
343,부산진구,가야동,,가야신화빌라,129.0283158,35.14801567
344,해운대구,반여동,,우신아파트,129.1188775,35.21271643
345,해운대구,반여동,,우신아파트,129.1189146,35.21270745
346,영도구,동삼동,,미라주브라이튼,129.0711176,35.0825023
347,영도구,동삼동,,미라주브라이튼,129.0711272,35.08246708
348,부산진구,개금동,가야대로468번길 30,개금 선내과(갑상선센터),129.0233223,35.1509679
349,중구,영주동,망양로 443,중구웰빙체육관,129.0317868,35.11460237
350,해운대구,반여동,,단비어린이집,129.1195079,35.19693945
351,해운대구,재송동,재반로184번길 31,민방위교육장,129.1326463,35.19393375
352,해운대구,재송동,,재반보건지소,129.1223432,35.19232575
353,부산진구,전포동,,대동아파트,129.0707167,35.16055172
354,남구,용호동,,용호종합사회복지관,129.1135655,35.12428542
355,북구,금곡동,,새마을금고 금곡지점,129.0166945,35.2644248
356,해운대구,반여동,재반로196번길 29-57,반여중앙교회,129.1329914,35.19534227
357,해운대구,재송동,재반로196번길 21-58,반여중앙교회,129.1328351,35.19507293
358,동구,범일동,망양로945번길 60-4,"구,87번종점",129.0506915,35.14418072
359,영도구,동삼동,태종로 629,동삼지구대,129.0730318,35.07789549
360,서구,암남동,송도해변로 150,풍전모텔,129.0210706,35.07774936
361,서구,암남동,,남항대교주차장 좌측,129.0238533,35.07883729
362,서구,암남동,,남항대교주차장 좌측,129.0238726,35.07879969
363,남구,대연동,황령대로 504,대연비치아파트입구,129.1086935,35.1373764
364,동래구,낙민동,,동래고등학교 앞,129.0924128,35.19974696
365,동래구,안락동,충렬대로447번길 38,안락군인아파트 앞,129.1092215,35.19913531
366,사상구,모라동,백양대로907번길 11,모라우성APT,128.9907084,35.18717281
367,사상구,모라동,백양대로907번나길 7,모라우성APT,128.9909387,35.18847423
368,동래구,낙민동,,동래고등학교 앞,129.0923621,35.19972863
369,동래구,안락동,충렬대로447번길 38,안락휴먼시아406동 앞,129.1077308,35.1991719
370,부산진구,전포동,,동의중학교,129.0697207,35.16596334
371,영도구,동삼동,,태종대중학교,129.0655888,35.07362066
372,영도구,동삼동,,반도보라아파트,129.0606371,35.07107121
373,영도구,동삼동,장수5길 31,미룡사,129.0669524,35.07740762
