번호,시군구명,동명,리명,도로명,교차로명,경도,위도
359,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9633288,35.12790975
360,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632242,35.12794321
361,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632592,35.12793518
362,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632979,35.12792391
363,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9633708,35.12740621
364,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9633346,35.12740176
365,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632969,35.12740530
366,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632571,35.12741749
367,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9632253,35.12741942
368,사상구,엄궁동,,강변대로 458,농산물도매시장3거리,128.9631464,35.12727963
369,사상구,엄궁동,,강변대로456번길 15-17,농산물도매시장3거리,128.9631626,35.12721530
370,사상구,학장동,,,,128.9753745,35.13706180
371,사상구,학장동,,학장로 35,,128.9750904,35.13678200
372,사상구,학장동,,학장로 35,동신목재,128.9747922,35.13648644
373,사상구,학장동,,,동신목재,128.9743326,35.13605042
374,사상구,감전동,,,주감여중,128.9953655,35.15539833
375,사상구,감전동,,,주감여중,128.9954449,35.15544194
376,사상구,감전동,,,주감여중,128.9954225,35.15542280
377,사상구,감전동,,,주감여중,128.9953959,35.15540951
378,사상구,감전동,,,,128.9954417,35.15530589
379,사상구,주례동,,사상로38번길 40,,128.9959345,35.15466941
380,사상구,주례동,,사상로38번길 40,,128.9959994,35.15466049
381,사상구,주례동,,사상로38번길 40,,128.9963379,35.15445523
382,사상구,주례동,,사상로38번길 40,신화빌라,128.9964194,35.15447189
383,사상구,주례동,,사상로38번길 40,신화빌라,128.9964964,35.15446514
384,사상구,주례동,,사상로38번길 40,신화빌라,128.9966619,35.15424104
385,사상구,주례동,,사상로38번길 40,신화빌라,128.9966808,35.15426508
386,사상구,주례동,,사상로38번길 40,신화빌라,128.9967010,35.15429275
387,사상구,주례동,,사상로38번길 40,신화빌라,128.9971601,35.15423390
388,사상구,주례동,,사상로38번길 40,신화빌라,128.9971506,35.15420694
389,사상구,주례동,,사상로38번길 40,신화빌라,128.9971844,35.15413854
390,사상구,주례동,,사상로38번길 40,신화빌라,128.9971508,35.15408848
391,사상구,주례동,,사상로38번길 40,신화빌라,128.9971654,35.15411611
392,사상구,주례동,,백양대로494번길 12,,128.9977146,35.15394325
393,사상구,주례동,,백양대로494번길 12,,128.9978515,35.15380815
394,사상구,주례동,,백양대로494번길 12,,128.9978772,35.15382760
395,사상구,주례동,,백양대로494번길 12,,128.9978965,35.15385539
396,북구,구포동,,,삼진섬유,128.9901882,35.19360967
